[2020-04-01 00:58:14] | WARN | [2] | file_get_contents() expects parameter 3 to be resource, integer given | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 289[2020-04-01 00:59:55] | WARN | [2] | file_get_contents() expects parameter 3 to be resource, integer given | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 292[2020-04-01 01:01:48] | WARN | [2] | file_get_contents() expects parameter 3 to be resource, integer given | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 292[2020-04-01 01:02:17] | WARN | [2] | file_get_contents() expects parameter 3 to be resource, integer given | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 292[2020-04-01 01:03:01] | WARN | [2] | file_get_contents() expects parameter 3 to be resource, integer given | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 296[2020-04-01 01:04:29] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\cache1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:31Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(130): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#4 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 31[2020-04-01 11:33:53] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:33:53] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:33:53] | WARN | [2] | file_get_contents(./view/view\debug.html): failed to open stream: No such file or directory | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php | 139
[2020-04-01 11:35:06] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:35:06] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:35:06] | WARN | [2] | file_get_contents(./view\debug.html): failed to open stream: No such file or directory | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php | 139
[2020-04-01 11:35:36] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:36:55] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:36:55] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:36:55] | WARN | [2] | file_get_contents(./views\debug.html): failed to open stream: No such file or directory | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php | 139
[2020-04-01 11:38:07] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:38:07] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:38:07] | WARN | [2] | file_get_contents(E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger/view\layout.html): failed to open stream: No such file or directory | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php | 197
[2020-04-01 11:39:26] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
[2020-04-01 11:40:07] | ERROR | [1] | Uncaught Error: Call to undefined function App\Home\Controllers\L1() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:36Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 36
