[2020-04-03 00:18:53] | ERROR | [1] | Uncaught Error: Class 'framework\Event\EventManager' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:53Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 53
[2020-04-03 00:19:31] | ERROR | [1] | Uncaught Error: Class 'framework\Event\EventManager' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:53Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 53
[2020-04-03 00:20:21] | ERROR | [1] | Uncaught Error: Class 'Event' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php:11Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(53): framework\Event\EventManager::trigger('Event', Array)#1 [internal function]: App\Home\Controllers\indexAction->index()#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#6 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php | 11
[2020-04-03 00:23:17] | ERROR | [1] | Uncaught Error: Call to a member function handle() on string in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php:23Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(55): framework\Event\EventManager::listen('Event')#1 [internal function]: App\Home\Controllers\indexAction->index()#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#6 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php | 23
[2020-04-03 00:24:10] | ERROR | [1] | Uncaught Error: Call to a member function handle() on string in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php:23Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(55): framework\Event\EventManager::listen('Event')#1 [internal function]: App\Home\Controllers\indexAction->index()#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#6 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php | 23
[2020-04-03 00:25:40] | ERROR | [1] | Uncaught Error: Class 'phpEmail' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\mailEventHandler.php:13Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php(23): framework\Event\mailEventHandler->handle(Array)#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(55): framework\Event\EventManager::listen('Event')#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\mailEventHandler.php | 13
[2020-04-03 00:27:23] | ERROR | [64] | Cannot declare class framework\Event\phpEmail because the name is already in use | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\mailEventHandler.php | 23
[2020-04-03 00:34:50] | ERROR | [1] | Uncaught Error: Call to undefined method framework\Event\Event::data() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:54Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->App\Home\Controllers\{closure}(Object(framework\Event\Event))#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\EventManager.php(13): call_user_func(Object(Closure), Object(framework\Event\Event))#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(55): framework\Event\EventManager::trigger('Event', Object(Closure))#3 [internal function]: App\Home\Controllers\indexAction->index()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootst | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 54
[2020-04-03 10:57:24] | ERROR | [1] | Uncaught Error: Call to undefined method framework\Event\Event::handle() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:55Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->App\Home\Controllers\{closure}(Object(framework\Event\Event))#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(13): call_user_func(Object(Closure), Object(framework\Event\Event))#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('Event', Object(Closure))#3 [internal function]: App\Home\Controllers\indexAction->index()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootst | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 55
[2020-04-03 10:58:00] | ERROR | [1] | Uncaught Exception: No entry or class found for App\Enent\EventHandler in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\Container.php(32): framework\Container\AbstractContainer->get('App\\Enent\\Event...')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Event.php(43): framework\Container\Container->offsetGet('App\\Enent\\Event...')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(55): framework\Event\Event->handler('handle', 'App\\Enent\\Event...')#3 [internal function]: App\Home\Controllers\indexAction->App\Home\Controllers\{closure}(Object(framework\Event\Event))#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(13): call_user_func(Object(Closure), Object(framework\Event\Event))#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 10:59:38] | ERROR | [1] | Uncaught Exception: No entry or class found for App\Event\EventHandler in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\Container.php(32): framework\Container\AbstractContainer->get('App\\Event\\Event...')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Event.php(43): framework\Container\Container->offsetGet('App\\Event\\Event...')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(55): framework\Event\Event->handler('handle', 'App\\Event\\Event...')#3 [internal function]: App\Home\Controllers\indexAction->App\Home\Controllers\{closure}(Object(framework\Event\Event))#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(13): call_user_func(Object(Closure), Object(framework\Event\Event))#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
