[2020-04-11 20:20:50] | ERROR | [1] | Uncaught ReflectionException: Class Request does not exist in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:116Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php(116): ReflectionClass->__construct('Request')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php(76): framework\Container\AbstractContainer->build('Request', Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\functions.php(12): framework\Container\AbstractContainer->make('Request', Array)#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(83): app('Request')#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(55): framework\Exception\Handler->getData()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 116
[2020-04-11 20:40:12] | ERROR | [1] | Uncaught Error: Cannot access parent:: when current class scope has no parent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php:12Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php(58): include()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\View.php(31): framework\View\Engine->load('views.error')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(70): framework\View\View->display('views.error')#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(67): framework\Exception\Handler->errorMessage()#4 [internal function]: App\Home\Controllers\indexAction->index()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framew | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 12
[2020-04-11 20:40:56] | ERROR | [1] | Uncaught Error: Cannot access parent:: when current class scope has no parent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php:12Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php(58): include()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\View.php(31): framework\View\Engine->load('views.error')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(70): framework\View\View->display('views.error')#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(67): framework\Exception\Handler->errorMessage()#4 [internal function]: App\Home\Controllers\indexAction->index()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framew | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 12
[2020-04-11 20:42:01] | ERROR | [1] | Uncaught Error: Cannot access parent:: when current class scope has no parent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php:12Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php(58): include()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\View.php(31): framework\View\Engine->load('views.error')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(70): framework\View\View->display('views.error')#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(66): framework\Exception\Handler->errorMessage()#4 [internal function]: App\Home\Controllers\indexAction->index()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framew | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 12
[2020-04-11 20:42:03] | ERROR | [1] | Uncaught Error: Cannot access parent:: when current class scope has no parent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php:12Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php(58): include()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\View.php(31): framework\View\Engine->load('views.error')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(70): framework\View\View->display('views.error')#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(66): framework\Exception\Handler->errorMessage()#4 [internal function]: App\Home\Controllers\indexAction->index()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framew | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 12
[2020-04-11 20:44:49] | ERROR | [1] | Uncaught Error: Cannot access parent:: when current class scope has no parent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php:12Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php(58): include()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\View.php(31): framework\View\Engine->load('views.error')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(70): framework\View\View->display('views.error')#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(66): framework\Exception\Handler->errorMessage()#4 [internal function]: App\Home\Controllers\indexAction->index()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framew | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 12
[2020-04-11 20:59:01] | ERROR | [1] | Uncaught Error: Cannot access parent:: when current class scope has no parent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php:12Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php(58): include()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\View.php(31): framework\View\Engine->load('views.error')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(70): framework\View\View->display('views.error')#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(66): framework\Exception\Handler->errorMessage()#4 [internal function]: App\Home\Controllers\indexAction->index()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framew | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 12
[2020-04-11 20:59:06] | ERROR | [1] | Uncaught Error: Cannot access parent:: when current class scope has no parent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php:12Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php(58): include()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\View.php(31): framework\View\Engine->load('views.error')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\Handler.php(70): framework\View\View->display('views.error')#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(66): framework\Exception\Handler->errorMessage()#4 [internal function]: App\Home\Controllers\indexAction->index()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framew | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 12
[2020-04-11 20:59:24] | ERROR | [4] | syntax error, unexpected '?' | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Exception\cache\views\error.php | 7115
[2020-04-11 22:01:47] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
[2020-04-11 22:02:20] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
[2020-04-11 22:06:54] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
[2020-04-11 22:07:02] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
