[2020-04-14 00:27:06] | WARN | [2] | Invalid argument supplied for foreach() | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php | 189
[2020-04-14 00:27:06] | WARN | [2] | Invalid argument supplied for foreach() | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php | 189
[2020-04-14 00:27:06] | WARN | [2] | Invalid argument supplied for foreach() | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\View\Engine.php | 189
[2020-04-14 09:23:25] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-14 09:23:25] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-14 09:23:26] | WARN | [2] | mysqli_error() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 172
[2020-04-14 09:23:25] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-14 09:23:26] | WARN | [2] | mysqli_error() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 172
[2020-04-14 09:23:26] | WARN | [2] | mysqli_close() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 47
[2020-04-14 09:25:34] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-14 09:25:34] | WARN | [2] | mysqli_error() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 172
[2020-04-14 09:25:34] | WARN | [2] | mysqli_close() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 47
[2020-04-14 09:26:00] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-14 09:26:00] | WARN | [2] | mysqli_error() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 172
[2020-04-14 09:26:00] | WARN | [2] | mysqli_close() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 47
[2020-04-14 09:30:23] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-14 09:30:23] | WARN | [2] | mysqli_error() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 172
[2020-04-14 09:30:43] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-14 09:30:43] | WARN | [2] | mysqli_error() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 172
[2020-04-14 14:28:00] | ERROR | [64] | Cannot override final method framework\Database\Eloquent\Model::toList() | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\app\Admin\Models\menuModel.php | 25
