[2020-04-16 10:12:51] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp1' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-16 10:12:51] | WARN | [2] | mysqli_error() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 172
[2020-04-16 10:17:40] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp1' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-16 10:18:41] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp1' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-16 10:18:41] | WARN | [2] | mysqli_close() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 47
[2020-04-16 10:18:55] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp1' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 34
[2020-04-16 10:18:55] | WARN | [2] | mysqli_close() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 47
[2020-04-16 10:22:22] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp1' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 35
[2020-04-16 10:22:22] | WARN | [2] | mysqli_close() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 48
[2020-04-16 10:31:03] | WARN | [2] | mysqli_connect(): (HY000/1049): Unknown database 'eternalphp1' | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 35
[2020-04-16 10:31:03] | WARN | [2] | mysqli_close() expects parameter 1 to be mysqli, bool given | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\vendor\eternalphp\framework\src\framework\Database\Connection\MySqliConnector.php | 48
[2020-04-16 11:42:07] | WARN | [2] | Invalid argument supplied for foreach() | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\app\views\cache\Admin\Admin\index.php | 301
[2020-04-16 11:42:44] | WARN | [2] | Invalid argument supplied for foreach() | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\app\views\cache\Admin\Admin\index.php | 301
[2020-04-16 12:22:41] | WARN | [2] | Declaration of App\Admin\Models\Menu::getData() should be compatible with framework\Database\Eloquent\Model::getData($row = Array) | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\app\Admin\Models\Menu.php | 25
[2020-04-16 12:22:44] | WARN | [2] | Declaration of App\Admin\Models\Menu::getData() should be compatible with framework\Database\Eloquent\Model::getData($row = Array) | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\app\Admin\Models\Menu.php | 25
[2020-04-16 12:23:04] | WARN | [2] | Declaration of App\Admin\Models\Menu::getData() should be compatible with framework\Database\Eloquent\Model::getData($row = Array) | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\app\Admin\Models\Menu.php | 25
[2020-04-16 12:45:36] | WARN | [2] | Invalid argument supplied for foreach() | E:\phpStudy\wwwroot\yuanzhongyi\eternalphp\app\views\cache\Admin\Admin\index.php | 303
